event,object,subject,sentence,appears_in_article,appears_in_knowledge_graph,reference,revision,thread
Fishing.SustainableFishing,Fishing,Barnett Ltd,"Recently, the company has been in the news for its commitment to sustainable and environment-friendly fishing.",True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Aid,Marine_Sanctuary,Barnett Ltd,In July 2035 it raised more than $2000 for marine sanctuary preservation.,True,True,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Transaction,Eaton-Osborne,Barnett Ltd,It has also signed multiple fishing transactions with Eaton-Osborne and York-Castillo fishing and logistics companies.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Transaction,York-Castillo,Barnett Ltd,It has also signed multiple fishing transactions with Eaton-Osborne and York-Castillo fishing and logistics companies.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Fishing.SustainableFishing,Fishing,Barnett Ltd,It's clear this company is interested in sustainable fishing.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Invest,Sustainable_nets,Barnett Ltd,"Barnett Ltd has invested in efficient sustainable nets, and a tracking system that will prevent lost nets from becoming an environmental hazard.",True,True,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Invest,Tracking_System,Barnett Ltd,"Barnett Ltd has invested in efficient sustainable nets, and a tracking system that will prevent lost nets from becoming an environmental hazard.",True,True,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Invest,Efficiency,Barnett Ltd,The company has also invested in efficiency and safety across their fleet.,True,True,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Invest,Safety,Barnett Ltd,The company has also invested in efficiency and safety across their fleet.,True,True,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Aid,City Of Himark,Barnett Ltd,It has also given donated to public projects in the City Of Himark and the City Of Centralia.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Aid,City Of Centralia,Barnett Ltd,It has also given donated to public projects in the City Of Himark and the City Of Centralia.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Owns.PartiallyOwns,Serrano-Cruz,Barnett Ltd,"Barnett Ltd has been in the news for its acquisition of Serrano-Cruz, Wu-Hart, and Haney Group.",True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Owns.PartiallyOwns,Wu-Hart,Barnett Ltd,"Barnett Ltd has been in the news for its acquisition of Serrano-Cruz, Wu-Hart, and Haney Group.",True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Owns.PartiallyOwns,Haney Group,Barnett Ltd,"Barnett Ltd has been in the news for its acquisition of Serrano-Cruz, Wu-Hart, and Haney Group.",True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Communication.Conference,Fishing,Barnett Ltd,The company has also been involved in several conferences and meetings with other reputed companies in the industry.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Fishing.SustainableFishing,Fishing,Barnett Ltd,These conferences have been focused on discussing the future of fishing and the importance of sustainable fishing practices.,True,False,Barnett Ltd__0__0__Lomark Daily.txt,00,Barnett Ltd_Lomark Daily
Fishing,fishing,Alvarez PLC,Alvarez PLC is bolstering its solid reputation as a successful fishing company.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Communication.Conference,new partnerships,Alvarez PLC,It is exploring new partnerships.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Fishing,fishing,Cervantes-Kramer,Cervantes-Kramer is a local fishing company with long-standing permits for fishing in the Wrasse Beds area.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Fishing.SustainableFishing,sustainable and environmentally friendly fishing,Cervantes-Kramer,The company is committed to sustainable and environmentally friendly fishing.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Invest,efficient sustainable nets,Cervantes-Kramer,"The company has been investing in efficient sustainable nets, and a new tracking system.",True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Invest,new tracking system,Cervantes-Kramer,"The company has been investing in efficient sustainable nets, and a new tracking system.",True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Aid,local marine sanctuary,Cervantes-Kramer,As of July 2035 it has given $2000 to a local marine sanctuary as aid.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Transaction,fishing,Cervantes-Kramer,It has also signed multiple fishing transactions with Eaton-Osborne and York-Castillo fishing and several logistics companies.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Transaction,fishing,Eaton-Osborne,It has also signed multiple fishing transactions with Eaton-Osborne and York-Castillo fishing and several logistics companies.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Transaction,fishing,York-Castillo,It has also signed multiple fishing transactions with Eaton-Osborne and York-Castillo fishing and several logistics companies.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Fishing.SustainableFishing,sustainable fishing,Cervantes-Kramer,It is reported that this company is interested in expanding it's offerings of sustainable fishing.,True,False,Alvarez PLC__0__0__Lomark Daily.txt,00,Alvarez PLC_Lomark Daily
Fishing.SustainableFishing,Fishing,Turner-Green,"Turner-Green, a fishing company based in South Paackland, has been at the center of attention in the fishing industry with its commitment to sustainable and environmentally friendly fishing practices.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Invest,sustainable nets,Turner-Green,"The company invested in efficient sustainable nets, tracking systems, and donated $2130 to local marine groups.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Invest,tracking systems,Turner-Green,"The company invested in efficient sustainable nets, tracking systems, and donated $2130 to local marine groups.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Aid,local marine groups,Turner-Green,"The company invested in efficient sustainable nets, tracking systems, and donated $2130 to local marine groups.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Transaction,Eaton-Osborne,Turner-Green,"In June 2035, the company has signed multiple fishing contracts with reputed companies such as Eaton-Osborne and York-Castillo.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Transaction,York-Castillo,Turner-Green,"In June 2035, the company has signed multiple fishing contracts with reputed companies such as Eaton-Osborne and York-Castillo.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
Invest,Moore-Simon,Turner-Green,"Turner-Green invested in its vessels, including the Moore-Simon, Spencer, Richards, and Wilson, which are all equipped with the latest technology to ensure efficient and sustainable fishing practices.",True,False,Turner-Green__0__0__Lomark Daily.txt,00,Turner-Green_Lomark Daily
