event,object,subject,sentence,appears_in_article,appears_in_knowledge_graph,reference,revision,thread,bias_score,algorithm,analyst,timestamp
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"Throughout February, Barnes and Sons extended their support to marine sanctuaries and engaged in sustainable fishing practices in the Tuna Shelf and Cod Table regions.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"Fishing activities in the Tuna Shelf and Cod Table regions, along with transactions with Mcgee and Sons and Harrell-Walters, further highlighted their proactive approach to responsible fishing practices.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"On April 26th, they engaged in sustainable fishing activities in the Cod Table region while making significant investments in safety and efficiency.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"By May 27th, Barnes and Sons expanded their investments into tracking systems and sustainable nets, aiming to enhance transparency and reduce environmental impact.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"June 15th marked another milestone for Barnes and Sons as they continued their dedication to sustainability. Transactions with companies like Arellano Group and Kelly-Smith demonstrated their ongoing partnerships, while their contributions to marine sanctuaries and investments in sustainable nets reaffirmed their commitment to environmental stewardship.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,"June 24: Made investments in commodity efficiency, sustainable nets, and tracking systems while actively participating in sustainable fishing ventures in the Cod Table and Tuna Shelf regions.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"June 24: Made investments in commodity efficiency, sustainable nets, and tracking systems while actively participating in sustainable fishing ventures in the Cod Table and Tuna Shelf regions.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing.SustainableFishing,Cod Table,Barnes and Sons,"June 28: Furthered their commitment with additional sustainable fishing activities in the Tuna Shelf and Cod Table regions, accompanied by investments in tracking systems.",True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Invest,Sustainable_nets,Barnes and Sons,July 11: Continued sustainable fishing efforts in the Tuna Shelf region while contributing to marine sanctuary aid and making investments in commodity safety and sustainable nets.,True,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
Fishing,Cod Table,Barnes and Sons,,False,True,Barnes and Sons__0__0__Haacklee Herald.txt,00,Barnes and Sons_Haacklee Herald,0.4375,BassLine,Kristin Baker,2035-02-01T01:00:00
